,,Message/Text,Real/Fake,Sentiment
,,"Updated clinical guidance 
13 March 2020

 

Updated #COVID19 clinical guidance covers:
🔹Early case recognition
🔹Guidance for care of children, pregnant women, adults & older people
🔹Managing cases
🔹Infection prevention & control
🔹Sample collection & an update on investigational therapeutics
👉https://t.co/ZVaiu2C19V pic.twitter.com/yyOzIbtbEO

— World Health Organization (WHO) (@WHO) March 15, 2020""",Real,Fact based
,,"WHO, UN Foundation and partners launch first-of-its-kind COVID-19 Solidarity Response Fund
13 March 2020

A new coronavirus disease (COVID-19) Solidarity Response Fund will raise money from a wide range of donors to support the work of the World Health Organization (WHO) and partners to help countries respond to the COVID-19 pandemic. The fund, the first-of-its-kind, enables private individuals, corporations and institutions anywhere in the world to come together to directly contribute to global response efforts, and has been created by the United Nations Foundation and the Swiss Philanthropy Foundation, together with WHO.",Real,Fact based
,,"Azerbaijan welcomes WHO mission
12 March 2020 

During its 5-day mission, a team of WHO experts worked with the national response committee on developing a national preparedness and response plan for COVID-19.

The Government of Azerbaijan is contributing to global efforts to address COVID-19, coordinating with neighbouring countries, and has pledged US$ 5 million to WHO’s strategic preparedness and response plan.",Real,Fact based
,,"WHO characterizes COVID-19 as a pandemic
11 March 2020


Speaking at the COVID-19 media briefing, the WHO Director-General said: 
""WHO has been assessing this outbreak around the clock and we are deeply concerned both by the alarming levels of spread and severity, and by the alarming levels of inaction.

We have therefore made the assessment that COVID-19 can be characterized as a pandemic.

Pandemic is not a word to use lightly or carelessly. It is a word that, if misused, can cause unreasonable fear, or unjustified acceptance that the fight is over, leading to unnecessary suffering and death.

Describing the situation as a pandemic does not change WHO’s assessment of the threat posed by this virus. It doesn’t change what WHO is doing, and it doesn’t change what countries should do.

We have never before seen a pandemic sparked by a coronavirus. This is the first pandemic caused by a coronavirus.

And we have never before seen a pandemic that can be controlled, at the same time.""",Real,Fact based
,,"Mental health and COVID-19
10 March 2020

WHO is providing guidance to help people manage fear, stigma and discrimination during COVID-19.

In the #AskWHO film below, expert Aiysha Malik answers public questions about mental health and preventing stress during the outbreak. ",Real,Fact based
,,"""The rule of the game is: never give up.”
9 March 2020

“We are not at the mercy of this virus,” said the WHO Director-General at the 9 March media briefing.

All countries must aim to stop transmission and prevent the spread of COVID-19, whether they face no cases, sporadic cases, clusters or community transmission.

“Let hope be the antidote to fear.

Let solidarity be the antidote to blame.

Let our shared humanity be the antidote to our shared threat""",Real,Fact based
,,"Marking 100 000 cases 
7 March 2020 

Marking this sombre moment, WHO reminded all countries and communities that the spread of this virus can be significantly slowed or even reversed through the implementation of robust containment and control activities.

Every effort to contain the virus and slow the spread saves lives. These efforts give health systems and all of society much needed time to prepare, and researchers more time to identify effective treatments and develop vaccines. 

Allowing uncontrolled spread should not be a choice of any government, as it will harm not only the citizens of that country but affect other countries as well. 

We must stop, contain, control, delay and reduce the impact of this virus at every opportunity. Every person has the capacity to contribute, to protect themselves, to protect others, whether in the home, the community, the healthcare system, the workplace or the transport system. 

 

Today for the first time 100 countries are reporting #COVID19 cases. This comes after the 🌍 reached 100,000 cases yesterday. While very serious, this should not discourage us. There are many things everyone, everywhere can and should do now. #coronavirushttps://t.co/7olb7FXEZ7

— Tedros Adhanom Ghebreyesus (@DrTedros) March 8, 2020""
 ",Real,Fact based
,,"WHO publishes draft R&D blueprint draft for COVID-19
6 March 2020 

""Research—implemented as policy and practice—can save lives and needs to be integrated into the response from the start.""

The R&D roadmap for COVID-19 outlines research priorities in 9 key areas. These include the natural history of the virus, epidemiology, diagnostics, clinical management, ethical considerations and social sciences, as well as longer-term goals for therapeutics and vaccines. ",Real,Fact based
,,"Launch of Be Ready campaign 
5 March 2020 

WHO launches a new social media campaign called Be Ready for COVID-19, which urges people to be safe, smart and kind.

'Be Ready' was launched because everyone can prepare for COVID-19, including individuals, governments and businesses. 

We're calling on people to Be Safe by remembering tried & tested public health measures, like regular hand washing & staying at least 1 metre (3 feet) from anyone coughing or sneezing. These ordinary measures are extraordinarily effective at fighting COVID-19.

We're asking people to Be Smart about COVID-19 by rejecting rumours & taking care to only share information from trusted sources. Everyone should keep informed about what is happening in their area and follow the recommendations of local authorities. 

We're reminding people to Be Kind through addressing stigma and looking out for one another - especially the most vulnerable and those in isolation. Compassion can combat #COVID19.

Below is a tweet from footballer Paul Pogba getting involved with the campaign.",Real,Fact based
,,"""The whole government should be involved”
5 March 2020

Speaking at the COVID-19 media briefing, the Director-General emphasized that the COVID-19 epidemic “can be pushed back, but only with a collective coordinated and comprehensive approach that engages the entire machinery of government.” ",Real,Fact based
,,"""This is unprecedented""
4 March 2020

Dr Maria Van Kerkhove, WHO's technical lead for COVID-19, outlines the wealth of knowledge generated about this new disease in just eight weeks. ",Real,Fact based
,,"Shortage of personal protective equipment endangering health workers worldwide
3 Mar 2020

WHO has shipped nearly half a million sets of personal protective equipment to 47 countries, but the global supply is rapidly depleting.

Shortages are leaving doctors, nurses and other frontline workers dangerously ill-equipped to care for COVID-19 patients, due to limited access to supplies such as gloves, medical masks, respirators, goggles, face shields, gowns, and aprons.

To meet rising global demand, WHO estimates that industry must increase manufacturing by 40 per cent.",Real,Fact based
,,"""There’s no choice but to act now” 
2 March 2020

Speaking at the COVID-19 media briefing, the Director-General emphasized that the virus is capable of community transmission but can be contained with the right measures. ",Real,Fact based
,,"Mission of WHO experts arrive in Iran
2 March 2020 

Landing in Tehran, the experts aim to identify transmission dynamics and at-risk populations, as well as provide guidance on strengthening and scaling up the response and readiness efforts. 

The mission arrived along with a shipment containing medical supplies and protective equipment to support over 15,000 health care workers and enough laboratory kits to test and diagnose nearly 100,000 people. 

The mission will build on the COVID-19 preparedness and response work already underway by WHO's country office in the Islamic Republic of Iran.",Real,Fact based
,,"UN releases US$15 million for COVID-19 response 
1 March 2020

UN Humanitarian Chief Mark Lowcock released US$15 million from the Central Emergency Response Fund (CERF) to WHO and UNICEF to help fund global efforts to contain the COVID-19 virus.

This grant will help countries with fragile health systems boost their detection and response operations. It will fund essential activities including monitoring the spread of the virus, investigating cases, and the operation of national laboratories.",Real,Fact based
,,"What every individual can do to protect themselves and others 
28 February 2020

In a daily COVID-19 press briefing the WHO Director-General said that more than 20 vaccines are in development globally, and several therapeutics are in clinical trials. But we don’t need to wait for vaccines and therapeutics. There are things every individual can do to protect themselves and others today.",Real,Fact based
,,"What every country should be asking itself 
27 February 2020

Discussing preparedness for COVID-19, the WHO Director-General listed questions every health minister should be able to answer. Here are a selection: 

Are we ready for the first case? 
Do we have enough medical oxygen, ventilators and other vital equipment?
How will we know if there are cases in other areas of the country?
Do our health workers have the training and equipment they need to stay safe?
Do we have the right measures at airports and border crossings to test people who are sick?
Do our labs have the right chemicals that allow them to test samples?
Are we ready to treat patients with severe or critical disease?
Do our hospitals and clinics have the right procedures to prevent and control infections?
Do our people have the right information? Do they know what the disease looks like?",Real,Fact based
,,"Get your workplace ready for COVID-19 
26 February 2020

WHO has issued new COVID-19 guidance for businesses and employers, which outlines simple ways to prevent the spread of the virus, things to consider when employees travel and how to get your business ready in case COVID-19 arrives in your community. ",Real,Fact based
,,"#AskWHO about COVID-19 
26 February 2020

Watch Dr Maria Van Kerkhove, WHO's technical lead on the new coronavirus, answer questions from the public about COVID-19. She begins by explaining how the virus spreads and how to protect yourself from COVID-19. Dr Van Kerkhove was a member of the recent joint mission of experts to China to learn more about the outbreak.",Real,Fact based
,,"Do your part to stop stigma and combat COVID-19
25 February 2020

The WHO Director-General has repeatedly called for ""solidarity, not stigma"" to address COVID-19. 

WHO has worked with UNICEF and the International Federation of Red Cross and Red Crescent Societies on a guide to preventing and addressing the social stigma associated with the disease. 

It's vital to fight stigma because it can drive people to hide the illness, not seek health care immediately and discourage them from adopting healthy behaviours. 

This guide includes some tips and messages, as well as dos and don'ts on language when talking about COVID-19. ",Real,Fact based
,,"WHO-China joint mission shares findings and recommendations
25 February 2020

The team of 25 international and Chinese experts travelled to several different provinces, with a small group going to Wuhan, the epicenter of the outbreak.

Among the team's findings was that the epidemic peaked and plateaued between the 23rd of January and the 2nd of February, and has been declining steadily since then. The team also estimates that the measures taken in China have averted a significant number of cases.

In a press conference in Geneva on Tuesday 25 February, Dr Bruce Aylward, the mission's lead, reported back on what China has done, its impact and implications. ",Real,Fact based
,,"UN Secretary-General visits WHO
24 February 2020

UN Secretary-General António Guterres met with the WHO Director-General and other WHO leaders, receiving a briefing on COVID-19, Ebola and polio. He expressed great admiration for health workers, including in China, who are working tirelessly to save lives. The UN Secretary-General also stressed that there is no space for stigma and discrimination and said we must be guided by science and human rights-based interventions.",Real,Fact based
,,"WHO leaders address AU and Africa CDC Emergency Meeting
22 February 2020

WHO’s Director-General and Regional Director for Africa addressed an emergency meeting of ministers of health to agree on a continental strategy for Africa to strengthen preparedness and responses to the COVID-19 outbreak.",Real,Fact based
,,"11  000 African health care workers have been trained on COVID-19
22 February 2020

During the past month about 11 000 African health workers have been trained using WHO’s online courses on COVID-19, which are available free of charge in English, French & other languages.",Real,Fact based
,,"Special envoys on COVID-19 selected
21 February 2020

The WHO Director-General appointed six special envoys on COVID-19, to provide strategic advice and high-level political advocacy and engagement in different parts of the world.

The six envoys are:

Professor Dr Maha El Rabbat, former Minister of Health of Egypt;
Dr David Nabarro, former special adviser to the United Nations Secretary-General on the 2030 Agenda for Sustainable Development and Climate Change;
Dr John Nkengasong, Director of the African Centres for Disease Control and Prevention;
Dr Mirta Roses, former Director of the WHO Region of the Americas;
Dr Shin Young-soo, former Regional Director of the WHO Region of the Western Pacific;
Professor Samba Sow, Director-General of the Center for Vaccine Development in Mali.",Real,Fact based
,,"WHO and countries are engaged in massive preparedness activities
18 February 2020

WHO has shipped supplies of personal protective equipment to 21 countries.

By the end of this week, 40 countries in Africa and 29 in the Americas are due to have the ability to detect COVID-19.",Real,Fact based
,,"WHO issues guidance on mass gathering and taking care of ill travellers
17 February 2020

Based on lessons from H1N1 and Ebola, WHO has outlined planning considerations for organizers of mass gatherings, in light of the COVID-19 outbreak. It has also issued advice on how to detect and take care of ill travellers, who are suspected COVID-19 cases.",Real,Fact based
,,"WHO issues guidance on mass gathering and taking care of ill travellers
17 February 2020

Based on lessons from H1N1 and Ebola, WHO has outlined planning considerations for organizers of mass gatherings, in light of the COVID-19 outbreak. It has also issued advice on how to detect and take care of ill travellers, who are suspected COVID-19 cases.",Real,Fact based
,,"WHO Director-General calls for solidarity at Munich Security Conference
15 February 2020

 

""We must be guided by solidarity, not stigma. The greatest enemy we face is not the virus itself; it’s the stigma that turns us against each other. We must stop stigma and hate.""

WHO Director-General Dr Tedros Adhanom Ghebreyesus called on the international community to use the window of opportunity to prepare for COVID-19 at the Munich Security Conference, a leading global forum on preeminent crises and future security challenges. 

 ",Real,Fact based
,,"Research and innovation forum sets priorities for COVID-19 research
12 February 2020 

More than 400 experts and funders met at WHO’s Geneva HQ to accelerate research to stop the COVID-19 outbreak. Featuring updates from the frontlines of the response in China, the meeting addressed issues such as: developing easy-to-apply diagnostics, accelerating existing vaccine candidates and preventing infection.",Real,Fact based
,,"Novel coronavirus disease named COVID-19
11 February 2020

Guidelines mandated that the name of the disease could not refer to a geographical location, an animal, an individual or group of people. It also needed to relate to the disease and be pronounceable. This choice will help guard against the use of other names that might be inaccurate or stigmatizing.",Real,Fact based
,,"Global community asks for US$675 million to help protect vulnerable countries from outbreak
5 February 2020

With the 2019-nCoV outbreak set to test the resilience of countries, the US$675 million Strategic Preparedness and Response Plan (SPRP) aims to protect states with weaker health systems.

Covering areas ranging from international coordination to country readiness to research and innovation, the SPRP aims to limit transmission, provide early care, communicate key information and minimize social and economic impacts.",Real,Fact based
,,"Public Health Emergency of International Concern declared
30 January 2020

WHO Director-General Dr Tedros Adhanom Ghebreyesus declared the 2019-nCoV outbreak a Public Health Emergency of International Concern, following a second meeting of the Emergency Committee convened under the International Health Regulations.

Acknowledging that cases have been reported in five WHO regions in one month, the Committee noted that early detection, isolating and treating cases, contact tracing and social distancing measures – in line with the level of risk – can all work to interrupt virus spread. ",Real,Fact based
,,"WHO and China leaders meet in Beijing to discuss coronavirus outbreak
28 January 2020

WHO Director-General Dr Tedros Adhanom Ghebreyesus met with China's President Xi Jinping in Beijing about the coronavirus outbreak.

Dr Tedros was joined by WHO Regional Director Dr Takeshi Kasai and Executive Director of the WHO Health Emergencies Programme Dr Mike Ryan, and also met State Councilor and Minister of Foreign Affairs Wang Yi and Minister of Health Ma Xiaowei.

The discussions focused on continued collaboration on containment measures in Wuhan, public health measures in other cities and provinces, conducting further studies on the severity and transmissibility of the virus, continuing to share data, and for China to share biological material with WHO. These measures will advance scientific understanding of the virus and contribute to the development of medical countermeasures such as vaccines and treatments.

The two sides agreed that WHO would send international experts to visit China as soon as possible to work with Chinese counterparts on increasing understanding of the outbreak to guide global response efforts.


",Real,Fact based
,,"Launch of free online introductory course on the novel coronavirus
25 January 2020

Covering topics such as why the novel coronavirus is a global threat to human health and how to effectively engage communities in the response, this free online course gives an introduction to the novel coronavirus. It is available for free and online in English, French, Spanish and Chinese.",Real,Fact based
,,"First meeting of Emergency Committee regarding the novel coronavirus outbreak
23 January 2020

On 22-23 February, the WHO Director General convened the Emergency Committee to consider the outbreak of the novel coronavirus in China, with cases also reported in the Republic of Korea, Japan, Thailand and Singapore.

Several Committee members considered it still too early to declare a Public Health Emergency of International Concern (PHEIC), given its restrictive and binary nature. Among other recommendations, the Committee advised that it be recalled in approximately 10 days.",Real,Fact based
,,"WHO makes field visit to Wuhan, China
21 January 2020

The delegation observed and discussed active surveillance processes, temperature screening at Wuhan Tianhe airport, laboratory facilities, infection prevention and control measures at Zhongnan hospital and its associated fever clinics, and the deployment of a test kit to detect the virus.

The delegation also discussed public communication efforts and China's plan to expand the case definition for the novel coronavirus, which will build a clearer picture of the spectrum of severity of the virus.

At the end of the visit, the Chinese Government released the primers and probes used in the test kit for the novel coronavirus to help other countries detect it. Chinese experts also shared a range of protocols that will be used in developing international guidelines, including case definitions, clinical management protocols and infection control.",Real,Fact based
,,"First case of novel coronavirus outside of China confirmed
13 January 2020

Officials confirmed a case of the novel coronavirus in Thailand. It was not unexpected that cases of the novel coronavirus would emerge outside of China and reinforces why WHO calls for active monitoring and preparedness in other countries.",Real,Fact based
,,"China makes genome sequencing of novel coronavirus publicly available
11 - 12 January 2020

China shares the genetic sequence of the novel coronavirus, which will be very important for other countries as they develop specific diagnostic kits.",Real,Fact based
,,"WHO issues its first guidance on the novel coronavirus
10 January 2020

Developed with reference to other coronaviruses, such as SARS and MERS, WHO issued a tool for countries to check their ability to detect and respond to a novel coronavirus.

This information is to help with identifying main gaps, assessing risks and planning for additional investigations, response and control actions.",Real,Fact based
,,"Coronaviruses are a large family of viruses with 4 human viruses causing mild colds in all age groups. The virus looks like it has a crown, hence the name. The family also includes viruses from animals that can infect humans in a process called zoonosis. This form of infection has caused severe pneumonia and death, such as the new virus corona virus (COVID-19). Previously, we have seen similar disease with the Severe Acute Respiratory Virus (SARS) and Middle East Respiratory Syndrome Coronavirus Virus (SARS) viruses. COVID-19 began in the city of Wuhan in the Hubei region of China but there is currently local spread in other countries including South Korea, Iran & Italy. Isolated cases who have been infected abroad have been imported to other countries including Norway and other Nordic countries.",Real,Fact based
,,"The original new coronavirus infection probably came from an animal and infected humans. Now it infects people through sneezing and coughing, but also through contact with virus-contaminated surfaces.",Real,Fact based
,,"Common symptoms of coronavirus 
 are respiratory symptoms with fever, fatigue, cough and very rapid or laboured breathing. Severe symptoms may include pneumonia, severe acute respiratory syndrome, renal failure and death.",Real,Fact based
,,"This can cure Covid 19!
Mix lemon and honey together with water and drink twice a day.",Fake,Opinion
,,"Monday, September 28:
20:18 GMT – Premier League returns 10 positive coronavirus cases
Ten Premier League players or staff have tested positive for the novel coronavirus in the past week, the highest number of infections since the English top-flight returned from a three-month layoff in June.",Real,Fact based
,,"19:58 GMT – Chicago mayor loosens COVID-related restrictions
Chicago Mayor Lori Lightfoot has loosened COVID-19-related capacity restrictions for businesses such as bars, restaurants and health clubs.
The new guidelines, which will take effect on Thursday, will increase indoor capacity to 40 percent for certain businesses, reopen bars for indoor service and increase maximum group sizes for fitness classes and after-school programmes, a statement from the mayor’s office said.",Real,Fact based
,,"19:20 GMT – Slovakia bans most public cultural, sports events over COVID-19
Slovakia’s government is banning most public cultural and sports events due to the alarming spread of the coronavirus, Prime Minister Igor Matovic has said.

Matovic told a news conference people should wear face masks, avoid family gatherings and keep distancing to avoid further restrictions.

“All the measures will be in effect from October 1 until further notice. Until we break the rising curve to a declining one,” Matovic said.

The exact wording of the rules is yet to be finalised and some exceptions will be made such as sport where all participants have a fresh negative test for the coronavirus – meaning some professional matches might be able to take place.",Real,Fact based
,,"18:53 GMT – Discontent simmers as Spanish authorities spar over Madrid lockdown
A clash between Madrid’s regional authorities and the Spanish government over how to contain the city’s surging coronavirus caseload is provoking growing discontent among residents in poorer areas who say they have been unfairly targeted.

The region extended a partial lockdown on Friday to 45 districts with high infection rates, the majority of which are in low-income neighbourhoods.",Real,Fact based
,,"18:24 GMT – US CDC reports 204,328 coronavirus deaths
The US Centers for Disease Control and Prevention (CDC) has reported 7,095,422 cases of the new coronavirus as of 4pm ET on September 27, an increase of 36,335 cases from its previous count a day earlier, and said the number of deaths had risen by 295 to 204,328.

The CDC figures do not necessarily reflect cases reported by individual states.",Real,Fact based
,,"18:10 GMT – France’s number of new COVID-19 cases down, casualties up
French health authorities reported 4,070 new COVID-19 infections over the past 24 hours, sharply down from Saturday’s third-highest ever tally of 14,412 and Sunday’s 11,123.

The seven-day moving average of new infections, which smoothes out reporting irregularities, stood at 12,083 – above the 12,000 threshold for a fourth day in a row – versus a low of 272 on May 27, two weeks after the country ended its two-month-long lockdown.

The number of people in France who have died from COVID-19 infections rose by 81 to 31,808.",Real,Fact based
,,"17:59 GMT – Dutch PM says no audiences at sport gatherings for three weeks
The Dutch government announced new measures intended to slow the spread of the coronavirus including limiting travel, closing bars and restaurants early and discouraging public gatherings.The measures came amid a second wave of infections.",Real,Fact based
,,"17:53 GMT – New US COVID-19 cases rise in 27 states
The number of new COVID-19 cases in the United States has risen for two weeks in a row in 27 out of 50 states, with North Carolina and New Mexico both reporting increases above 50 percent last week, according to a Reuters analysis.

The US recorded 316,000 new cases in the week ended September 27, up 10 percent from the previous seven days and the highest in six weeks, according to the analysis of state and county data.

The nation’s top infectious disease expert, Dr Anthony Fauci, told ABC News the country was “not in a good place”.“There are states that are starting to show (an) uptick in cases and even some increases in hospitalisations in some states. And, I hope not, but we very well might start seeing increases in deaths.”",Real,Fact based
,,"17:46 GMT – Canada’s Quebec expected to announce new restrictions as coronavirus cases rise
Quebec, the Canadian province hardest hit by the novel coronavirus, reported another sharp increase in daily infections, amid media reports that Premier Francois Legault would announce new restrictions for Montreal and capital Quebec City.

Quebec reported an additional 750 coronavirus cases despite existing restrictions on mask-wearing and social gatherings put in place by Canada’s second-most populous province to contain the spread.

Health Minister Christian Dube told a French-language talk show on Sunday night the two cities were close to being listed as red zones, referring to the province’s traffic light system for designating transmission, with red being the hardest-hit.",Real,Fact based
,,"17:33 GMT – Panama to pay $1.9m for WHO COVID-19 vaccine
Panama’s health ministry has agreed to spend $1.9m next month in an initial payment for COVID-19 vaccines through the World Health Organization’s COVAX vaccine programme, officials said.

Health vice minister Ivette Berrio said Panama’s government hoped to make 1.3 million shots available through COVAX, about a fifth of the Central American nation’s overall vaccine requirement.",Real,Fact based
,,"17:21 GMT – Official COVID-19 death toll probably underestimates true total says WHO
The official global death toll from COVID-19 probably underestimates the true total – suggesting it could be over a million already, a WHO official said.",Real,Fact based
,,"17:03 GMT -Pelosi says Trump administration must boost COVID-19 aid offer
US House Speaker Nancy Pelosi has called on the Trump administration to boost their offer for more financial aid amid the novel coronavirus pandemic, saying she planned further talks with US Treasury Secretary Steven Mnuchin later today.Pelosi, in an interview on MSNBC, said the two had spoken briefly on Sunday and she still hoped Democrats and the White House could find common ground.",Real,Fact based
,,"16:45 GMT – Spain reports 31,785 new coronavirus cases since Friday
Spain’s tally of confirmed coronavirus cases has reached 748,266, rising by 31,785 from Friday’s total, health ministry data showed.

The cumulative death toll is up to 31,411 from 31,232 on Friday.

Daily deaths are now around their highest levels since early May but are well below the late March record of nearly 900.",Real,Fact based
,,"16:32 GMT – UN says most countries failing to address women’s needs during pandemic
Only one in eight countries worldwide have brought in measures to specifically protect women from the effect of the coronavirus pandemic, according to a database of government responses to COVID-19 launched by two UN agencies.

The crisis offers a chance to reshape societies for a fairer future, but many nations are failing to protect women and girls from pandemic-linked risks such as a surge in domestic abuse, said UN Women and the UN Development Programme (UNDP).",Real,Fact based
,,"16:01 GMT – WHO says 120 million rapid COVID-19 tests to be provided to poorer countries
Some 120 million rapid diagnostic tests for COVID-19 will be made available to low- and middle-income countries over a period of six months, the WHO has said.

The tests provide reliable results in just 15 minutes, the WHO’s director-general, Tedros Adhanom Ghebreyesus, told a news conference in Geneva.",Real,Fact based
,,"15:36 GMT – UK health minister moves to defuse dispute with legislators
British health minister Matt Hancock moved to defuse a row with some legislators over the government’s handling of the coronavirus crisis, saying he was looking at ways to better involve Parliament in setting any national measures.

“We’re looking at further ways to ensure the House (of Commons) can be properly involved in the process, in advance if possible. I hope to provide the House with further details soon,” he told parliament.",Real,Fact based
,,"15:05 GMT – Kenya’s president extends national curfew, shortens hours
Kenya’s President Uhuru Kenyatta extended the nationwide curfew put in place to curb the spread of the new coronavirus but said it would end two hours later at 11pm local time.

Kenyatta, who said the COVID-19 infections curve had been flattened, also lifted a ban on the sale of alcohol in restaurants and bars.",Real,Fact based
,,"14:45 GMT – UK government brings in new legal restrictions for northeast
British health minister Hancock said on Monday the government was introducing legal restrictions on households mixing in northeast England to try to reduce a growing number of coronavirus cases.

“Unfortunately, the number of cases continues to rise sharply,” Hancock told Parliament.

“We know that a large number of these infections are taking place in indoor settings outside the home. And so, at the request of the local councils, with whom we’ve been working closely, we will introduce legal restrictions on indoor mixing between households in any setting.”",Real,Fact based
,,"14:30 GMT – UK reports 4,044 new cases of COVID-19, 13 deaths
The UK has reported 4,044 new COVID-19 cases, raising the total number of cases to 439,013, government data showed.The daily cases figure was down from 5,693 on Sunday.

The UK also recorded 13 new deaths from the virus, bringing the total since the start of the pandemic to 42,001.",Real,Fact based
,,"14:00 GMT – Dutch consider restricting travel to Amsterdam
The Dutch government is considering restricting travel to and from the nation’s biggest cities – Amsterdam, Rotterdam and The Hague – as part of measures to counter a second wave of coronavirus infections, broadcaster NOS reported.

Prime Minister Mark Rutte said he was considering further “regional” measures as the country’s COVID-19 outbreak has risen from low levels in late August to above 2,500 cases a day, more than at the peak of the first wave in April. Rutte has rejected the idea of a second lockdown or making face masks mandatory.",Real,Fact based
,,"13:45 GMT – Oman to reopen mosques
Oman will reopen mosques for prayers on November 15 with strict measures in place to prevent the spread of coronavirus, state media reported, citing a statement from the Islamic affairs ministry.",Real,Fact based
,,"13:25 GMT – France unveils big budget as virus cases worsen
France launched a free-spending budget plan saying a new spike in COVID-19 cases justified its unprecedented loosening of the purse strings.

After 460 billion euros ($537bn) of emergency spending this year to save the economy from the virus fallout, the government built its 2021 budget around a 100-billion-euro ($117bn) “recovery plan”, first announced this month and partly funded by EU money.

The budget came after France’s health services on Saturday reported 14,412 new virus cases over the previous 24 hours – only slightly lower than the record 16,000 registered on both Thursday and Friday.

The spike threatens to overwhelm hospitals, health officials warned, while the government imposed fresh curbs to limit the spread of the virus, including on restaurants, bars and sports facilities.",Real,Fact based
,,"13:20 GMT – UK government pledges to work with Parliament on COVID-19 plan
Prime Minister Boris Johnson’s government will work with Parliament wherever possible to keep members of Parliament updated on the latest COVID-19 data and any plans to restrict the spread of the virus.",Real,Fact based
,,"13:00 GMT – India coronavirus cases top six million
India’s coronavirus case tally passed six million after it reported 82,170 new infections in the last 24 hours, as the pandemic rages across the vast South Asian nation.

With 6.1 million infections according to the health ministry, India is on course to pass the US in the coming weeks as the country with the most cases.",Real,Fact based
,,"Monday, September 14
22:54 GMT – No deaths in Australia’s Victoria for first time in two months
Victoria, the Australian state at the centre of Australia’s latest coronavirus outbreak, has reported no deaths from COVID-19 for the first time in two months.

The state confirmed 42 new cases in a 24-hour-period, compared with 35 the previous day.",Real,Fact based
,,"22:40 GMT – Brazil registers 15,155 new cases
Brazil registered 15,115 new cases of coronavirus, totalling 4,345,610, the health ministry said. Deaths rose by 381 to 131,625 according to ministry data.",Real,Fact based
,,"20:40 GMT – Turkey’s virus deaths rise to levels not seen since May
Turkey’s daily coronavirus deaths have topped its numbers from early May, with 63 fatalities in the past 24 hours.The number of positive COVID-19 cases to stands at nearly 293,000 since March. The death toll now is 7,119, but experts say all numbers undercount the true impact of the coronavirus pandemic due to limited testing and missed mild cases, among other factors.Health Minister Fahrettin Koca tweeted that the rate of infections was not slowing and urged people to take precautions. Turkey eased restrictions like temporary weekend lockdowns at the end of May and reopened businesses and travel routes in June.",Real,Fact based
,,"20:25 GMT – US officials: 500,000 counterfeit N95 masks seized in Chicago
About 500,000 counterfeit N95 respirator masks have been seized in Chicago by Customs and Border Protection officers, federal officials said.

The shipment of masks from China was seized on September 10 at O’Hare International Airport, according to the federal agency. It said the masks were headed to a company in Manalapan, New Jersey. The masks are used to prevent the spread of the COVID-19 virus.

“These masks did not meet the safety standards outlined by the CDC, which puts the public at risk, jeopardising the health and well-being of everyone,” said Shane Campbell, port director for the Chicago area.",Real,Fact based
,,"20:00 GMT – US eases China travel warning, citing virus progress
The United States has eased its warning against travel to China, acknowledging that the nation had made progress against COVID-19 despite frequent US criticism of its pandemic role.

The State Department still urges its citizens to reconsider travel to China, but it upgraded its advice from a blanket warning not to go to the country.The People’s Republic of China “has resumed most business operations (including day cares and schools),” the State Department said.

“Other improved conditions have been reported within the PRC,” it said.",Real,Fact based
,,"19:30 GMT – Jordan to close mosques, restaurants and schools for two weeks
Mosques, restaurants, street markets and most schools will be closed for two weeks starting on Thursday in Jordan, amid an “unprecedented” increase in coronavirus infections and deaths in the kingdom.

These measures will help to avoid a total lockdown, government spokesman Amjad al-Adaileh said.

In recent days, Jordan has reported more than 200 cases and several deaths every day, a record high it avoided earlier in the year due to a tight lockdown.

“Despite previous warnings, we have seen recklessness and complacency that unfortunately led to dozens of cases in different provinces across the kingdom. So, concerned authorities will take very strict measures against those who violate” the rules, al-Adaileh said in a televised address.",Real,Fact based
,,"19:00 GMT – Canada’s Trudeau worried about uptick in virus cases
Prime Minister Justin Trudeau has warned that Canada was “not out of the woods” with the coronavirus, urging citizens to be vigilant as more than 1,300 cases were recorded over the weekend – a level not seen since early summer.

“One of the things we’re seeing is, with numbers rising across the country, we are not out of the woods,” Trudeau told a press conference in Ottawa.

He said the resumption of classes and the reopening of the Canadian economy, meaning more people are back to work, had led to an increase in case numbers.",Real,Fact based
,,"18:30 GMT – UAE announces emergency approval for use of COVID-19 vaccine
The United Arab Emirates has granted emergency approval for use of a coronavirus vaccine, six weeks after human trials in the country started.

A phase III trial of a COVID-19 inactivated vaccine developed by Chinese state-owned pharmaceutical company Sinopham began in the UAE in July and is yet to be completed.

“The vaccine will be available to our first line of defense heroes who are at the highest risk of contracting the virus,” said the National Emergency Crisis and Disaster Management Authority in a tweet.",Real,Fact based
,,"18:00 GMT – Testing positive: half of Argentina’s coronavirus checks yield infection
Argentina’s coronavirus “positive rate,” the number of daily infections to the number of tests carried out, has topped 50 percent, underscoring how much work the South American country has to do to bring the virus under control.

Health ministry data showed the country carried out 17,955 tests the day before, when it recorded 9,056 confirmed COVID-19 cases. That indicates a positive rate of 50.4 percent, one of the highest in the world.

The country, which has been trying to open its hard-hit economy, has a total of 555,537 confirmed cases, the tenth-highest case load in the world, with 11,412 fatalities.",Real,Fact based
